owner_id,age,gender,city_district,quarter,primary_breed,is_hybrid,secondary_breed,is_secondary_hybrid,breed_type,dog_yob,dog_gender,dog_color
80383,81-90,w,4,44,Bichon,NA,West Highland White Terrier,NA,K,1999,w,weiss
81595,71-80,w,1,11,Rauhaar Dackel,NA,NA,NA,K,1999,w,schwarz/braun
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,1999,w,schwarz/rot
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,1999,w,schwarz/rot
82452,61-70,w,10,102,Dachshund,NA,NA,NA,K,1999,w,schwarz/rot
83102,71-80,w,2,21,Vizsla,NA,NA,NA,I,1999,w,golden
83185,61-70,w,3,33,Mischling klein,NA,NA,NA,K,1999,w,schwarz/grau
84040,71-80,m,3,31,Dackel,NA,NA,NA,K,1999,m,schwarz/rot
84059,61-70,m,11,111,Mischling klein,NA,NA,NA,K,1999,m,braun
85701,61-70,w,11,111,Cairn Terrier,NA,NA,NA,K,1999,w,brindle
85970,41-50,m,8,81,Mischling klein,NA,NA,NA,K,1999,m,schwarz/grau
86118,71-80,w,9,92,Pekingese,Mischling,NA,NA,K,1999,m,braun
86281,71-80,w,4,42,Pekingese,Mischling,NA,NA,K,1999,m,braun/weiss
86586,71-80,w,8,82,Mischling klein,NA,NA,NA,K,1999,w,schwarz
87353,71-80,m,7,71,Volpino,Mischling,NA,NA,K,1999,w,braun/schwarz
87653,41-50,w,9,92,Mischling klein,NA,NA,NA,K,1999,m,schwarz/braun/grau
87869,71-80,w,8,83,Zwergpudel,NA,NA,NA,K,1999,m,grau
119458,61-70,w,8,82,Zwergdackel,NA,NA,NA,K,1999,m,braun
132321,51-60,m,4,42,Mischling klein,NA,NA,NA,K,1999,m,weiss/braun
